Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171116214100,380,124,105,416,175,432,-57,-56,-42,-73
20171116214101,412,97,100,421,120,425,-52,-58,-42,-73
20171116214101,367,151,98,416,199,427,-52,-58,-50,-68
20171116214102,354,148,107,399,204,399,-52,-54,-50,-58
20171116214103,358,123,107,381,181,403,-44,-54,-50,-58
20171116214104,354,121,118,384,186,405,-52,-55,-50,-58
20171116214104,346,120,120,371,190,397,-52,-56,-50,-57
20171116214105,337,109,137,362,192,386,-52,-56,-50,-57
20171116214106,331,111,142,359,199,377,-52,-57,-50,-59
20171116214106,318,95,164,346,204,366,-52,-54,-50,-62
20171116214107,291,129,168,331,239,353,-52,-54,-50,-62
20171116214107,282,113,184,316,241,340,-44,-54,-59,-62
20171116214108,267,86,212,298,247,322,-49,-54,-59,-58
20171116214109,234,156,217,294,295,322,-49,-54,-54,-58
20171116214109,222,158,226,282,307,318,-49,-54,-54,-57
20171116214110,227,138,230,280,294,304,-47,-54,-62,-57
20171116214110,209,169,230,274,326,300,-47,-62,-56,-57
20171116214111,224,125,227,263,295,289,-47,-62,-54,-52
20171116214112,192,153,249,249,335,280,-47,-54,-54,-52
20171116214112,198,115,261,241,313,269,-47,-54,-54,-55
20171116214113,163,156,280,232,359,256,-55,-56,-59,-55
20171116214113,157,159,291,232,362,243,-55,-57,-59,-55
20171116214114,139,165,295,217,390,236,-55,-57,-56,-55
20171116214116,98,145,344,179,416,217,-55,-53,-60,-51
20171116214116,86,157,344,177,440,210,-55,-53,-60,-54
20171116214118,66,136,377,155,443,201,-59,-53,-61,-59
20171116214118,52,132,381,140,465,197,-52,-51,-61,-55
20171116214119,44,127,386,131,474,181,-52,-49,-61,-55
20171116214120,22,127,414,129,489,0,-52,-51,-61,0
20171116214120,17,131,416,131,498,171,-56,-48,-58,-53
20171116214121,4,131,427,129,513,164,-56,-48,-58,-57
20171116214121,-33,92,502,109,508,168,-55,-48,-60,-57
20171116214122,-38,80,513,102,507,171,-61,-48,-60,-55
20171116214123,-16,100,445,96,535,159,-61,-470,-60,-53
20171116214123,-29,87,462,87,546,166,-61,-575,-65,-53
20171116214124,20,91,445,102,465,223,-61,-46,-65,-47
20171116214124,22,109,423,113,480,230,-61,-46,-65,-47
20171116214126,66,86,403,120,423,177,-55,-46,-66,-66
20171116214126,52,101,419,127,432,173,-55,-47,-66,-66
20171116214128,76,111,397,151,410,184,-53,-44,-66,-64
20171116214128,85,105,394,155,399,192,-53,-48,-66,-64
20171116214129,127,107,340,181,371,210,-53,-46,-66,-57
20171116214130,133,113,333,190,366,221,-50,-52,-66,-63
20171116214130,153,137,331,234,342,239,-50,-50,-66,-55
20171116214131,184,-5,320,199,326,247,-52,-50,-62,-55
20171116214132,199,123,278,261,309,261,-52,-50,-62,-63
20171116214132,204,71,280,241,304,274,-58,-53,-63,-63
20171116214133,227,41,263,241,276,295,-58,-53,-63,-63
20171116214134,240,71,241,265,269,295,-45,-53,-63,-59
20171116214134,267,92,223,316,254,309,-50,-53,-63,-58
20171116214135,283,76,217,331,241,324,-63,-54,-63,-58
20171116214135,280,95,199,316,239,350,-47,-54,-63,-62
20171116214136,288,95,188,318,230,350,-47,-54,-63,-62
20171116214137,300,102,177,335,223,366,-46,-54,-63,-62
20171116214137,315,100,166,348,210,364,-48,-54,-57,-60
20171116214138,344,102,149,384,192,377,-49,-54,-51,-60
20171116214138,357,104,136,392,181,401,-49,-54,-51,-60
20171116214139,369,100,133,403,171,405,-51,-54,-55,-60
20171116214141,398,93,120,419,140,447,-48,-56,-55,-64
20171116214142,419,105,111,445,142,443,-47,-56,-44,-64
20171116214142,390,91,131,419,151,425,-47,-56,-46,-67
20171116214143,399,125,87,425,159,419,-50,-56,-46,-67
20171116214143,396,134,81,425,168,414,-50,-64,-46,-70
20171116214144,398,153,65,434,181,421,-49,-64,-46,-70
20171116214145,396,164,56,436,190,403,-49,-64,-50,-70
20171116214146,390,200,50,447,217,408,-18,-55,-53,-62
20171116214146,378,216,65,443,234,465,-18,-52,-66,-62
20171116214147,379,222,61,443,243,375,-18,-52,-66,-63
20171116214148,368,224,76,436,247,371,-11,-52,-59,-59
20171116214149,361,216,78,425,247,362,-11,-56,-59,-65
20171116214149,347,218,94,416,254,342,-39,-56,-59,-62
20171116214150,330,210,105,394,261,337,-39,-57,-59,-62
20171116214151,322,227,120,399,276,326,-11,-70,-59,-68
20171116214152,294,245,158,390,302,304,-49,-69,-67,-64
20171116214152,275,249,175,377,320,291,-47,-57,-62,-64
20171116214153,265,258,186,375,333,285,-47,-58,-60,-60
20171116214154,254,246,192,359,333,272,-44,-58,-60,-63
20171116214154,235,249,212,348,348,254,-44,-63,-61,-63
20171116214155,221,253,226,340,362,239,-44,-63,-61,-65
20171116214155,197,246,252,322,372,223,-45,-62,-63,-61
20171116214156,170,247,295,313,379,208,-45,-59,-63,-61
20171116214157,163,244,294,304,388,208,-45,-59,-63,-59
20171116214158,163,237,267,287,408,177,-47,-52,-56,-67
20171116214159,148,247,300,294,412,162,-49,-53,-54,-61
20171116214200,102,248,359,280,436,136,-49,-58,-59,-52
20171116214200,101,246,357,276,439,131,-49,-58,-56,-54
20171116214201,104,243,340,269,449,127,-49,-52,-56,-54
20171116214202,76,227,375,247,456,111,-49,-57,-55,-48
20171116214203,68,229,384,247,462,105,-51,-57,-61,-48
20171116214203,69,248,384,265,471,98,-47,-57,-54,-487
20171116214204,56,208,384,219,476,85,-47,-55,-54,-457
20171116214205,56,213,372,219,489,78,-47,-55,-54,-455
20171116214205,12,212,436,219,508,63,-47,-59,-57,-435
20171116214206,16,203,425,208,508,54,-59,-59,-54,-149
20171116214207,-10,216,449,219,542,54,-59,-59,-54,-149
20171116214207,-24,217,452,217,566,52,-59,-50,-54,-119
20171116214208,16,263,423,265,542,63,-53,-60,-55,-450
20171116214209,19,258,414,258,542,68,-54,-57,-55,-450
20171116214210,10,228,414,226,542,59,-54,-57,-60,-457
20171116214211,10,218,427,221,524,52,-67,-56,-57,-527
20171116214212,12,220,419,221,529,47,-67,-53,-54,-626
20171116214213,40,226,397,232,502,65,-67,-55,-54,-623
20171116214213,53,219,381,227,489,83,-67,-55,-55,-475
20171116214214,66,222,375,236,471,94,-67,-55,-53,-495
20171116214214,88,228,355,249,454,102,-49,-55,-60,-49
20171116214215,96,241,350,265,452,107,-49,-53,-60,-49
20171116214216,109,251,340,280,445,116,-49,-57,-60,-63
20171116214216,108,240,333,267,445,129,-49,-57,-58,-63
20171116214217,134,238,304,276,425,137,-52,-51,-56,-63
20171116214218,135,244,313,285,419,158,-52,-51,-56,-63
20171116214218,141,247,307,291,416,164,-52,-53,-56,-58
20171116214219,160,245,285,298,403,179,-50,-53,-56,-58
20171116214219,169,241,278,300,392,195,-50,-53,-63,-58
20171116214220,198,250,243,322,381,210,-44,-53,-63,-60
20171116214221,197,252,258,329,371,223,-44,-59,-63,-60
20171116214222,244,250,205,355,342,252,-52,-48,-54,-63
20171116214222,247,247,204,357,335,258,-49,-48,-54,-63
20171116214223,264,239,186,364,318,272,-49,-50,-54,-66
20171116214224,273,234,181,371,304,278,-49,-54,-54,-66
20171116214224,286,233,158,375,302,294,-45,-50,-54,-63
20171116214225,305,233,144,392,287,326,-45,-62,-54,-58
20171116214225,313,229,136,397,278,326,-45,-62,-53,-58
20171116214226,332,229,113,410,269,337,-42,-62,-53,-62
20171116214227,334,225,111,410,265,348,-11,-59,-53,-61
20171116214227,345,219,105,421,249,359,-11,-53,-55,-61
20171116214228,361,221,85,432,245,372,-11,-73,-54,-64
20171116214228,367,210,74,430,236,386,-11,-56,-57,-64
20171116214229,379,211,61,439,232,388,-11,-56,-55,-64
20171116214230,386,210,56,447,226,390,-11,-56,-55,-64
20171116214230,385,207,65,452,219,401,-11,-53,-57,-64
20171116214231,395,212,52,458,221,405,-11,-61,-57,-70
