Oficina ZigZag calibration

N1 = (0,0)
N2 = (503,958)
N3 = (584,25)
N4 = (120,936)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171127220545,26,463,462,684,711,520,-64,-675,-585,-625
20171127220546,23,476,471,675,724,500,-60,-625,-585,-635
20171127220546,23,485,476,665,733,493,-60,-665,-585,-635
20171127220548,46,479,482,662,704,489,-62,-615,-655,-635
20171127220548,53,475,476,658,697,487,-62,-605,-655,-655
20171127220550,56,476,482,658,693,482,-64,-615,-665,-655
20171127220551,49,482,484,656,704,482,-58,-615,-665,-655
20171127220551,53,476,478,658,697,482,-65,-605,-665,-655
20171127220552,53,487,491,651,704,474,-73,-605,-665,-605
20171127220552,51,504,507,640,717,456,-59,-635,-635,-655
20171127220553,49,511,517,638,721,452,-55,-655,-635,-615
20171127220554,50,514,515,632,726,445,-55,-655,-635,-655
20171127220554,53,513,513,629,724,443,-60,-635,-675,-665
20171127220555,52,510,511,634,721,443,-62,-635,-675,-575
20171127220555,57,517,520,627,721,447,-62,-625,-665,-585
20171127220556,50,514,515,632,726,445,-64,-625,-665,-565
20171127220557,54,507,513,638,715,454,-55,-625,-675,-655
20171127220557,52,507,511,638,717,456,-57,-625,-675,-625
20171127220558,50,517,520,632,726,443,-57,-625,-645,-595
20171127220558,45,540,533,612,752,419,-59,-625,-605,-595
20171127220559,51,554,555,605,752,414,-62,-625,-675,-585
20171127220600,57,556,557,598,750,412,-62,-705,-635,-605
20171127220600,54,557,555,597,755,416,-66,-695,-655,-615
20171127220601,56,554,557,601,748,414,-69,-675,-685,-625
20171127220602,52,551,552,605,750,416,-59,-675,-625,-605
20171127220602,57,551,552,601,746,412,-70,-665,-605,-605
20171127220603,53,552,552,603,750,412,-68,-665,-605,-605
20171127220603,53,553,557,605,748,421,-57,-605,-605,-595
20171127220605,52,572,581,598,759,412,-63,-605,-675,-855
20171127220605,71,578,590,579,750,368,-67,-855,-625,-855
20171127220606,79,579,590,572,746,368,-63,-675,-625,-635
20171127220607,71,579,588,577,752,368,-66,-695,-615,-635
20171127220608,64,585,594,579,761,371,-66,-695,-615,-635
20171127220608,72,581,592,577,752,375,-63,-675,-605,-605
20171127220609,69,582,588,575,757,368,-63,-685,-605,-625
20171127220610,72,581,592,577,752,368,-65,-635,-605,-605
20171127220610,69,581,590,577,755,368,-64,-595,-605,-595
20171127220611,63,591,601,577,765,357,-64,-665,-625,-595
20171127220611,66,613,623,561,779,340,-65,-635,-625,-665
20171127220613,73,625,640,550,781,333,-68,-745,-725,-615
20171127220614,68,623,640,557,781,333,-55,-745,-625,-595
20171127220615,72,624,638,552,781,331,-65,-815,-765,-605
20171127220616,69,626,640,552,785,333,-54,-815,-625,-605
20171127220617,77,634,653,544,783,324,-56,-795,-685,-655
20171127220617,34,687,671,529,875,294,-56,-725,-585,-595
20171127220618,61,684,684,517,845,282,-56,-655,-585,-665
20171127220619,37,706,693,520,886,280,-56,-655,-735,-585
20171127220619,31,701,691,529,884,280,-65,-675,-605,-575
20171127220620,34,703,687,522,888,287,-65,-675,-765,-565
20171127220620,36,703,691,522,884,282,-60,-685,-595,-585
20171127220621,33,704,691,524,886,285,-60,-685,-595,-575
20171127220622,37,704,691,520,884,282,-61,-675,-605,-585
20171127220622,32,708,691,520,895,280,-66,-685,-735,-595
20171127220623,32,705,689,522,891,285,-66,-685,-595,-575
20171127220624,29,714,697,520,901,272,-64,-695,-725,-615
20171127220624,47,728,719,502,895,254,-66,-675,-575,-615
20171127220625,46,740,726,495,910,236,-66,-665,-615,-615
20171127220625,46,740,730,498,906,241,-67,-685,-615,-585
20171127220626,46,738,724,495,908,245,-59,-605,-655,-555
20171127220627,44,738,724,498,908,245,-67,-595,-655,-615
20171127220627,40,739,726,502,910,243,-67,-705,-655,-555
20171127220628,41,738,726,502,908,239,-70,-705,-655,-555
20171127220628,44,740,728,498,908,241,-68,-605,-645,-555
20171127220629,44,740,728,498,908,241,-59,-605,-635,-555
20171127220630,46,764,748,484,930,223,-77,-605,-625,-545
20171127220630,56,774,763,474,928,199,-69,-625,-625,-535
20171127220631,71,770,772,469,906,197,-64,-565,-695,-555
20171127220631,71,769,777,474,900,195,-71,-565,-645,-555
20171127220632,64,777,772,469,921,195,-61,-675,-645,-565
20171127220633,66,774,770,469,917,197,-67,-675,-685,-565
20171127220635,64,772,772,474,913,195,-67,-545,-695,-565
20171127220635,67,774,774,471,913,192,-67,-555,-665,-525
20171127220636,54,801,794,469,948,175,-65,-565,-665,-575
20171127220636,29,842,807,465,1024,158,-65,-561,-71,-565
20171127220637,38,837,807,460,1011,158,-58,-574,-64,-501
20171127220638,29,851,811,460,1038,153,-58,-624,-64,-584
20171127220638,28,854,811,458,1045,159,-58,-574,-64,-634
20171127220639,27,857,810,456,1051,159,-59,-621,-81,-614
20171127220639,23,857,810,460,1055,159,-59,-573,-63,-511
20171127220640,29,850,814,462,1033,162,-57,-563,-63,-523
20171127220641,37,842,810,458,1018,158,-66,-619,-79,-563
20171127220641,58,811,810,465,950,158,-66,-569,-769,-569
20171127220642,15,880,820,456,1093,146,-66,-586,-76,-589
20171127220642,71,835,838,449,959,131,-70,-576,-686,-506
20171127220643,52,865,847,447,1016,118,-63,-647,-67,-526
20171127220644,51,870,849,445,1024,113,-66,-610,-70,-527
20171127220644,41,873,847,452,1036,113,-63,-610,-70,-530
20171127220645,54,861,845,447,1009,118,-63,-637,-67,-530
20171127220646,56,862,849,447,1005,120,-63,-611,-71,-547
20171127220646,66,848,849,449,974,120,-63,-661,-711,-541
20171127220647,52,865,847,447,1016,118,-62,-640,-70,-541
20171127220647,53,856,845,452,1000,122,-62,-591,-71,-520
20171127220648,63,867,866,447,994,107,-62,-551,-611,-521
20171127220649,61,877,879,449,1000,96,-84,-551,-71,-5551
20171127220649,63,879,879,445,1003,89,-84,-571,-71,-5151
20171127220650,57,881,884,452,1005,94,-68,-573,-63,-5871
20171127220650,58,879,878,449,1007,94,-68,-622,-72,-5873
20171127220651,62,881,879,445,1007,94,-70,-574,-64,-5222
20171127220652,62,881,878,443,1009,94,-69,-584,-64,-5374
20171127220653,55,886,879,447,1020,96,-69,-572,-72,-5385
20171127220653,55,884,879,449,1016,96,-69,-627,-77,-5372
20171127220654,52,882,879,454,1014,94,-68,-564,-64,-5327
20171127220655,68,893,895,439,1011,78,-68,-626,-66,-5464
20171127220655,67,894,897,440,1011,72,-64,-638,-68,-6326
20171127220656,59,892,888,445,1020,78,-59,-634,-64,-6638
20171127220656,65,889,886,439,1014,72,-59,-677,-67,-6334
20171127220658,73,900,901,432,1016,63,-64,-624,-64,-5473
20171127220658,72,900,900,432,1018,63,-61,-784,-64,-5524
20171127220659,71,896,893,432,1018,68,-60,-624,-64,-5284
20171127220700,71,897,895,432,1018,61,-65,-624,-64,-5124
20171127220700,73,897,895,430,1016,63,-59,-744,-64,-5124
20171127220701,71,902,904,434,1018,56,-59,-638,-58,-5544
20171127220701,90,897,893,412,1011,54,-58,-713,-73,-5238
20171127220703,117,904,910,388,998,47,-55,-685,-655,-5115
20171127220703,118,907,908,384,1005,45,-66,-698,-68,-5185
20171127220704,120,906,910,384,1000,41,-66,-699,-69,-4898
20171127220704,117,904,908,386,1000,45,-57,-689,-69,-4899
20171127220705,117,901,906,388,996,43,-68,-689,-669,-4889
20171127220706,115,903,906,388,1000,50,-57,-692,-72,-4989
20171127220706,121,904,906,381,1000,52,-59,-695,-65,-4892
20171127220707,124,905,913,381,994,61,-59,-695,-655,-4895
20171127220707,145,898,904,359,983,72,-62,-695,-685,-5095
20171127220708,164,897,913,344,968,87,-61,-695,-685,-5495
20171127220709,171,897,910,335,968,87,-56,-815,-745,-6095
20171127220709,172,894,908,335,965,83,-61,-815,-665,-5415
20171127220710,170,898,913,337,968,85,-61,-635,-695,-7115
20171127220710,169,894,910,340,963,87,-61,-635,-695,-6535
20171127220711,172,893,908,335,963,94,-60,-635,-695,-6635
20171127220712,172,895,906,333,968,87,-60,-645,-675,-5135
20171127220712,173,891,904,333,963,91,-60,-645,-675,-4745
20171127220713,175,895,908,331,965,96,-61,-665,-675,-5045
20171127220714,192,894,910,313,959,146,-61,-665,-675,-645
20171127220714,212,887,906,295,946,116,-75,-675,-675,-595
20171127220715,206,872,901,311,924,136,-75,-625,-685,-515
20171127220716,196,887,904,311,950,137,-63,-715,-655,-495
20171127220717,199,875,900,316,932,140,-62,-715,-665,-495
20171127220717,195,880,900,316,941,140,-62,-735,-645,-485
20171127220718,199,880,901,313,939,140,-62,-735,-635,-485
20171127220718,194,880,901,318,941,144,-65,-625,-635,-485
20171127220720,201,875,895,311,935,162,-67,-715,-635,-495
20171127220720,201,853,875,318,915,127,-60,-615,-635,-485
20171127220721,197,824,853,337,884,155,-60,-725,-625,-465
20171127220722,203,822,853,333,879,153,-72,-725,-625,-495
20171127220722,200,811,842,340,871,168,-55,-605,-615,-485
20171127220723,203,819,849,333,878,171,-77,-575,-615,-485
20171127220723,199,819,853,340,875,175,-76,-575,-615,-485
20171127220724,203,816,851,337,871,168,-58,-575,-645,-475
20171127220725,206,816,849,333,871,168,-66,-585,-645,-505
20171127220725,205,817,849,333,873,186,-59,-645,-645,-505
20171127220726,200,786,820,353,847,171,-63,-655,-655,-535
20171127220727,195,772,810,368,833,190,-56,-655,-645,-555
20171127220728,195,770,807,368,833,239,-61,-655,-715,-525
20171127220728,201,763,803,368,823,186,-63,-655,-615,-505
20171127220729,193,771,810,371,832,247,-54,-655,-655,-495
20171127220729,197,765,801,368,829,201,-62,-685,-645,-495
20171127220730,195,769,810,371,829,197,-62,-685,-605,-615
20171127220731,196,768,803,366,832,190,-54,-685,-665,-615
20171127220731,201,764,801,366,825,272,-63,-675,-615,-495
20171127220733,186,743,787,397,807,234,-71,-735,-635,-555
20171127220734,186,736,781,401,801,243,-71,-675,-635,-535
20171127220734,188,727,765,399,798,243,-73,-675,-635,-595
20171127220736,187,713,735,397,796,245,-63,-625,-625,-595
20171127220736,187,713,735,397,796,239,-69,-625,-665,-595
20171127220737,187,711,728,394,798,245,-69,-625,-625,-605
20171127220737,187,711,730,397,796,241,-69,-625,-665,-545
20171127220738,183,710,728,399,798,311,-69,-645,-665,-535
20171127220739,184,693,715,412,781,267,-67,-765,-615,-575
20171127220739,178,669,687,430,765,280,-60,-765,-715,-545
20171127220740,184,675,702,427,763,280,-57,-585,-695,-595
20171127220741,186,676,706,427,761,282,-59,-735,-635,-565
20171127220743,187,677,708,425,761,285,-60,-735,-655,-565
20171127220743,187,676,708,427,759,287,-62,-735,-665,-575
20171127220744,194,677,713,423,755,291,-59,-585,-675,-575
20171127220745,193,656,695,440,737,313,-57,-625,-645,-575
20171127220745,193,635,680,460,717,353,-52,-625,-705,-675
20171127220746,584,268,675,462,0,0,-58,-615,0,0
20171127220747,197,637,687,458,715,377,-53,-625,-575,-545
20171127220747,194,637,680,456,719,379,-53,-625,-615,-615
20171127220748,195,634,682,460,715,388,-62,-615,-615,-535
20171127220748,198,631,680,460,711,403,-53,-615,-645,-545
20171127220749,198,627,675,462,708,397,-54,-575,-705,-625
20171127220750,194,630,674,462,713,397,-61,-605,-605,-565
20171127220750,193,633,680,462,715,390,-55,-605,-625,-625
20171127220751,201,610,665,478,691,355,-63,-645,-625,-625
20171127220751,209,579,638,498,662,371,-60,-655,-565,-615
20171127220752,164,590,623,507,700,379,-60,-625,-605,-685
20171127220753,214,561,618,504,647,371,-68,-645,-635,-585
20171127220753,217,561,621,504,645,372,-55,-675,-605,-585
20171127220754,214,561,616,504,647,377,-56,-675,-615,-555
20171127220754,208,563,618,507,651,375,-62,-725,-615,-585
20171127220755,216,562,618,502,647,371,-62,-725,-605,-585
20171127220756,215,561,616,502,647,375,-63,-715,-655,-605
20171127220756,218,551,612,513,636,377,-59,-715,-625,-565
20171127220757,155,551,581,542,675,440,-57,-585,-635,-595
20171127220757,142,548,570,548,684,436,-62,-675,-625,-655
