Oficina test

N1 = (0,0)
N2 = (503,958)
N3 = (584,25)
N4 = (120,936)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171127222651,50,748,733,487,915,232,-73,-605,-645,-58
20171127222651,53,760,748,482,919,223,-66,-605,-645,-60
20171127222652,63,775,761,465,928,208,-66,-605,-645,-62
20171127222652,57,775,765,474,928,204,-62,-605,-645,-63
20171127222653,57,774,765,474,926,201,-62,-655,-645,-60
20171127222654,60,773,759,469,928,205,-56,-655,-645,-60
20171127222654,51,786,774,474,943,188,-64,-655,-645,-56
20171127222655,47,803,787,469,963,181,-58,-735,-645,-56
20171127222655,54,809,794,462,963,173,-76,-665,-645,-59
20171127222656,54,806,790,462,961,173,-74,-665,-735,-61
20171127222657,52,807,794,465,961,173,-57,-705,-735,-61
20171127222657,52,813,792,458,974,171,-60,-605,-715,-61
20171127222658,73,807,810,454,935,153,-56,-535,-715,-61
20171127222658,75,820,818,445,950,151,-65,-645,-715,-55
20171127222659,69,823,827,454,950,144,-65,-575,-715,-54
20171127222700,79,819,825,447,939,146,-67,-635,-715,-52
20171127222702,69,854,853,443,981,113,-63,-585,-685,-52
20171127222702,66,857,855,445,985,113,-63,-625,-685,-52
20171127222703,655,303,858,445,0,113,-76,-565,0,-53
20171127222704,65,889,893,443,1007,81,-72,-547,-57,-544
20171127222705,61,883,884,447,1007,94,-56,-546,-56,-614
20171127222705,54,873,869,452,1007,83,-56,-671,-71,-544
20171127222706,59,877,873,447,1007,83,-61,-670,-70,-527
20171127222706,62,884,882,443,1011,72,-61,-680,-70,-607
20171127222708,94,886,884,410,998,61,-61,-755,-655,-555
20171127222708,103,892,893,401,998,56,-63,-705,-755,-555
20171127222709,104,895,895,399,1000,52,-58,-665,-75,-630
20171127222709,106,892,891,397,998,52,-72,-695,-605,-586
20171127222710,106,891,893,399,994,56,-72,-695,-675,-639
20171127222711,122,898,901,381,994,50,-66,-725,-625,-599
20171127222711,125,899,904,379,992,59,-66,-725,-625,-602
20171127222712,122,898,901,381,994,56,-71,-685,-625,-532
20171127222713,136,897,901,368,987,61,-64,-715,-665,-628
20171127222713,140,888,888,362,983,76,-64,-715,-665,-601
20171127222714,142,888,891,362,978,72,-67,-685,-665,-491
20171127222714,146,893,897,357,981,72,-67,-685,-675,-568
20171127222716,158,894,901,346,976,85,-81,-715,-615,-492
20171127222716,174,895,913,335,961,105,-59,-715,-675,-64
20171127222717,187,891,910,322,954,111,-71,-665,-675,-58
20171127222717,186,889,906,322,954,109,-71,-665,-635,-52
20171127222718,183,892,908,324,959,116,-71,-685,-635,-53
20171127222719,198,894,915,311,952,140,-71,-685,-685,-53
