Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

data = Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171116002404,401,113,100,425,151,425,-47,-63,-44,-66
20171116002405,405,113,96,427,146,425,-47,-63,-44,-66
20171116002405,400,115,98,425,153,423,-46,-61,-45,-66
20171116002406,404,123,83,425,151,421,-46,-61,-45,-63
20171116002407,384,117,96,403,158,410,-44,-61,-45,-62
20171116002408,347,112,127,372,186,379,-44,-61,-51,-61
20171116002408,340,114,131,366,192,377,-43,-61,-47,-61
20171116002409,342,115,127,366,190,375,-43,-61,-46,-57
20171116002410,343,115,127,368,190,375,-43,-61,-47,-61
20171116002410,327,124,136,359,208,364,-42,-61,-50,-61
20171116002411,310,153,137,353,236,355,-42,-61,-54,-62
20171116002411,314,105,158,340,210,350,-42,-61,-49,-62
20171116002412,305,94,166,322,210,353,-48,-61,-53,-62
20171116002413,270,170,173,326,276,348,-48,-61,-53,-62
20171116002413,273,173,168,329,276,348,-52,-63,-55,-62
20171116002414,269,171,171,324,278,353,-52,-63,-52,-62
20171116002414,273,168,166,324,274,355,-52,-63,-51,-62
20171116002415,268,171,173,324,278,350,-52,-63,-57,-62
20171116002416,268,166,173,320,276,350,-52,-63,-57,-65
20171116002416,265,166,175,318,278,348,-52,-60,-49,-65
20171116002418,238,163,205,295,298,307,-11,-59,-51,-63
20171116002418,236,167,210,298,300,304,-11,-59,-52,-63
20171116002420,234,171,201,291,309,298,-29,-55,-54,-63
20171116002421,233,168,210,294,304,300,-41,-55,-54,-60
20171116002421,246,152,204,300,285,298,-41,-55,-52,-60
20171116002422,246,120,208,280,274,302,-11,-55,-53,-60
20171116002422,246,136,210,294,278,302,-28,-55,-53,-60
20171116002423,247,133,212,295,276,298,-43,-55,-54,-60
20171116002424,226,185,208,294,322,300,-43,-55,-61,-62
20171116002424,245,142,208,294,282,298,-13,-59,-61,-64
20171116002425,204,154,241,263,322,276,-45,-59,-57,-58
20171116002426,201,154,236,254,329,287,-48,-59,-54,-60
20171116002427,197,161,239,256,335,285,-47,-59,-57,-60
20171116002427,200,150,241,254,326,287,-46,-59,-54,-52
20171116002428,195,162,241,256,337,280,-46,-59,-54,-52
20171116002429,194,159,241,252,337,272,-46,-59,-58,-52
20171116002429,184,148,256,239,340,265,-58,-59,-58,-56
20171116002430,167,147,274,226,355,256,-49,-61,-62,-56
20171116002430,167,135,278,219,350,258,-49,-61,-48,-53
