Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171116073821,176,218,256,280,384,217,-50,-55,-55,-58
20171116073822,207,209,230,298,348,226,-50,-55,-55,-55
20171116073822,210,216,230,307,348,276,-65,-55,-59,-55
20171116073823,216,227,210,311,362,269,-52,-55,-59,-55
20171116073824,236,229,190,326,348,267,-52,-55,-59,-55
20171116073824,241,231,190,333,342,269,-52,-73,-59,-53
20171116073825,146,60,173,0,335,278,-52,0,-54,-62
20171116073825,263,221,162,340,322,311,-49,-73,-54,-62
20171116073826,274,223,159,353,311,320,-54,-66,-54,-64
20171116073827,285,218,144,357,302,316,-54,-66,-51,-64
20171116073827,299,234,127,375,309,324,-54,-66,-51,-64
20171116073828,307,224,118,375,295,331,-54,-66,-51,-61
20171116073829,311,233,122,388,295,348,-54,-66,-54,-61
20171116073829,333,227,102,403,276,353,-54,-61,-56,-61
20171116073830,357,213,83,421,245,390,-12,-64,-56,-61
20171116073830,368,200,69,425,230,375,-12,-64,-56,-70
20171116073831,373,208,68,434,232,384,-12,-59,-50,-66
20171116073832,392,210,45,449,226,390,-12,-59,-54,-66
20171116073832,398,204,39,452,219,381,-11,-59,-58,-66
20171116073833,396,205,43,452,219,397,-11,-68,-58,-61
20171116073833,396,208,41,452,223,390,-11,-63,-58,-61
20171116073834,400,204,34,452,219,392,-11,-63,-58,-61
20171116073835,397,204,41,452,219,397,-11,-63,-58,-61
20171116073835,390,198,39,436,221,390,-11,-58,-58,-61
20171116073836,353,196,76,403,239,375,-42,-58,-51,-70
20171116073837,349,184,87,399,230,399,-42,-57,-51,-59
20171116073838,330,162,127,386,226,399,-48,-57,-47,-58
20171116073840,260,158,184,311,278,294,-41,-61,-49,-64
20171116073841,238,150,212,291,291,282,-41,-54,-55,-57
20171116073841,214,148,230,265,313,265,-41,-54,-55,-57
20171116073842,197,156,243,256,331,256,-41,-54,-53,-57
20171116073842,194,134,256,243,324,249,-41,-64,-53,-57
20171116073843,183,120,269,226,329,249,-41,-61,-53,-57
20171116073844,176,117,278,219,335,243,-41,-63,-53,-57
20171116073844,172,79,295,199,331,236,-52,-63,-53,-57
20171116073845,149,100,298,179,359,227,-52,-63,-54,-57
20171116073846,107,127,348,175,397,205,-51,-59,-54,-57
20171116073846,82,125,381,162,412,243,-51,-59,-54,-60
20171116073847,67,114,416,153,410,223,-51,-59,-55,-60
20171116073847,95,114,350,151,412,217,-51,-59,-55,-49
20171116073848,87,105,362,140,416,214,-51,-59,-55,-49
20171116073849,66,93,384,116,436,221,-51,-59,-57,-49
20171116073850,52,76,401,94,447,217,-51,-599,-59,-49
20171116073851,49,56,410,76,447,232,-54,-514,-64,-48
20171116073852,34,68,427,81,458,236,-54,-501,-61,-48
20171116073854,39,49,430,68,452,241,-54,-481,-61,-57
20171116073854,18,72,425,72,487,247,-54,-481,-61,-66
20171116073855,25,55,436,63,469,256,-55,-481,-61,-66
20171116073856,19,58,430,59,484,282,-55,-481,-61,-54
20171116073856,49,68,405,85,449,254,-55,-481,-61,-54
20171116073857,65,28,405,72,430,236,-55,-331,-61,-54
20171116073858,77,39,392,89,419,243,-55,-338,-58,-54
20171116073858,89,81,368,124,410,245,-51,-33,-58,-54
20171116073859,97,103,359,149,403,236,-51,-49,-53,-61
20171116073900,93,114,362,155,408,226,-53,-49,-53,-60
20171116073901,103,146,335,181,414,214,-53,-57,-53,-58
20171116073902,119,181,326,223,405,201,-61,-57,-53,-58
20171116073903,125,183,304,221,412,195,-50,-67,-63,-64
20171116073903,147,209,287,258,401,195,-50,-67,-63,-64
20171116073904,152,204,276,254,399,199,-51,-67,-63,-64
20171116073904,173,198,254,261,379,223,-51,-58,-63,-57
20171116073905,193,202,234,278,364,236,-56,-53,-63,-57
20171116073906,228,170,214,291,309,256,-56,-54,-63,-57
20171116073906,235,182,201,300,313,256,-56,-54,-59,-65
20171116073907,280,122,181,318,245,289,-56,-54,-59,-65
20171116073907,281,147,164,322,256,302,-42,-50,-59,-65
20171116073908,278,191,153,337,287,322,-46,-50,-64,-61
20171116073909,284,195,146,344,285,322,-46,-50,-61,-57
20171116073910,302,113,164,333,223,357,-50,-53,-57,-57
20171116073911,312,107,162,344,214,364,-50,-53,-57,-57
20171116073911,312,63,186,326,197,362,-50,-62,-57,-57
20171116073912,280,53,221,307,234,357,-50,-62,-60,-59
20171116073912,274,40,232,298,239,355,-50,-62,-60,-68
20171116073913,263,21,249,282,247,348,-50,-59,-59,-68
20171116073914,232,-22,294,249,282,379,-50,-59,-59,-56
20171116073915,223,-73,337,243,295,337,-50,-59,-59,-62
