Oficina test

N1 = (0,0)
N2 = (503,958)
N3 = (584,25)
N4 = (120,936)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4

20171127221948,45,93,129,1003,542,878,-52,-63,-679,-659
20171127221949,52,89,131,1005,537,878,-49,-63,-573,-633
20171127221951,52,88,129,1005,537,878,-48,-63,-573,-723
20171127221951,55,80,124,1009,535,871,-48,-63,-573,-723
20171127221952,61,83,129,1003,530,864,-48,-63,-573,-723
20171127221952,55,86,129,1005,535,873,-49,-64,-573,-723
20171127221953,52,85,127,1007,537,886,-49,-72,-574,-724
20171127221954,55,86,129,1005,535,893,-49,-61,-602,-722
20171127221954,-3,104,122,1011,583,884,-51,-61,-601,-721
20171127221955,12,118,155,1011,563,880,-51,-61,-601,-721
20171127221955,30,101,136,1009,552,882,-51,-61,-601,-721
20171127221956,10,95,109,1007,572,875,-51,-61,-691,-721
20171127221957,15,112,149,1014,561,882,-46,-67,-691,-721
20171127221957,6,123,159,1009,568,878,-46,-67,-697,-727
20171127221958,18,97,120,1009,563,878,-46,-67,-697,-727
20171127221959,19,96,116,1007,563,882,-46,-67,-697,-727
20171127221959,18,80,89,1009,566,880,-46,-67,-697,-727
20171127222000,19,84,102,1014,563,886,-46,-67,-697,-657
20171127222000,22,76,91,1016,561,886,-46,-67,-697,-657
20171127222001,-18,88,91,1014,605,895,-46,-67,-647,-657
20171127222002,-5,88,96,1016,588,886,-46,-67,-647,-657
20171127222002,13,88,105,1014,568,886,-46,-67,-647,-657
20171127222003,13,104,131,1011,566,888,-47,-67,-647,-657
20171127222004,10,106,127,1005,570,893,-47,-67,-647,-657
20171127222005,53,75,109,1005,535,886,-49,-67,-647,-657
20171127222006,51,111,133,969,539,855,-49,-677,-687,-697
20171127222008,63,119,158,969,529,849,-48,-657,-687,-697
20171127222008,61,112,149,974,530,847,-48,-657,-687,-697
20171127222010,56,120,153,969,535,849,-59,-657,-687,-807
20171127222010,56,119,153,972,535,851,-59,-657,-687,-807
20171127222011,49,134,166,963,542,842,-59,-657,-687,-807
20171127222011,52,170,219,950,542,820,-59,-657,-687,-807
20171127222012,87,145,199,941,513,820,-59,-657,-687,-807
20171127222013,90,147,199,935,511,814,-59,-657,-687,-807
20171127222013,69,170,226,941,530,798,-59,-657,-577,-807
20171127222014,61,190,243,930,539,798,-62,-827,-577,-717
20171127222014,52,196,234,915,550,785,-57,-827,-577,-647
20171127222015,55,199,226,900,552,781,-58,-827,-577,-647
20171127222016,46,218,234,879,568,752,-56,-677,-527,-697
20171127222017,72,224,258,873,544,739,-56,-757,-527,-627
20171127222018,31,252,256,849,597,715,-55,-777,-587,-607
20171127222019,47,253,263,845,581,713,-59,-777,-557,-607
20171127222019,44,266,276,836,588,702,-62,-687,-547,-637
20171127222020,55,273,289,827,581,693,-50,-697,-597,-677
20171127222020,56,286,302,816,585,680,-60,-697,-557,-657
20171127222021,60,295,313,807,585,671,-61,-677,-547,-697
20171127222022,83,307,335,790,570,653,-68,-687,-617,-627
20171127222023,83,319,348,781,575,640,-54,-687,-587,-657
20171127222024,89,328,357,770,575,625,-54,-687,-607,-627
